statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
61262;Residential property price indices;JAHR;Year;2016;DINSG;Germany;DG;Germany;107.6;2015=100;PRE038;Price index for existing residential property;e
61262;Residential property price indices;JAHR;Year;2016;DINSG;Germany;DG;Germany;106.9;2015=100;PRE037;Price index for new residential property;e
61262;Residential property price indices;JAHR;Year;2016;DINSG;Germany;DG;Germany;107.5;2015=100;PRE026;House price index;e
61262;Residential property price indices;JAHR;Year;2016;DINSG;Germany;DG;Germany;110.0;2015=100;PRE031;Price index for building land;e
61262;Residential property price indices;JAHR;Year;2015;DINSG;Germany;DG;Germany;100.0;2015=100;PRE038;Price index for existing residential property;e
61262;Residential property price indices;JAHR;Year;2015;DINSG;Germany;DG;Germany;100.0;2015=100;PRE037;Price index for new residential property;e
61262;Residential property price indices;JAHR;Year;2015;DINSG;Germany;DG;Germany;100.0;2015=100;PRE026;House price index;r
61262;Residential property price indices;JAHR;Year;2015;DINSG;Germany;DG;Germany;100.0;2015=100;PRE031;Price index for building land;e
61262;Residential property price indices;JAHR;Year;2014;DINSG;Germany;DG;Germany;95.6;2015=100;PRE038;Price index for existing residential property;e
61262;Residential property price indices;JAHR;Year;2014;DINSG;Germany;DG;Germany;94.8;2015=100;PRE037;Price index for new residential property;e
61262;Residential property price indices;JAHR;Year;2014;DINSG;Germany;DG;Germany;95.5;2015=100;PRE026;House price index;e
61262;Residential property price indices;JAHR;Year;2014;DINSG;Germany;DG;Germany;93.4;2015=100;PRE031;Price index for building land;e
61262;Residential property price indices;JAHR;Year;2013;DINSG;Germany;DG;Germany;92.8;2015=100;PRE038;Price index for existing residential property;e
61262;Residential property price indices;JAHR;Year;2013;DINSG;Germany;DG;Germany;91.4;2015=100;PRE037;Price index for new residential property;e
61262;Residential property price indices;JAHR;Year;2013;DINSG;Germany;DG;Germany;92.6;2015=100;PRE026;House price index;e
61262;Residential property price indices;JAHR;Year;2013;DINSG;Germany;DG;Germany;87.9;2015=100;PRE031;Price index for building land;e
61262;Residential property price indices;JAHR;Year;2012;DINSG;Germany;DG;Germany;89.7;2015=100;PRE038;Price index for existing residential property;e
61262;Residential property price indices;JAHR;Year;2012;DINSG;Germany;DG;Germany;90.3;2015=100;PRE037;Price index for new residential property;e
61262;Residential property price indices;JAHR;Year;2012;DINSG;Germany;DG;Germany;89.8;2015=100;PRE026;House price index;e
61262;Residential property price indices;JAHR;Year;2012;DINSG;Germany;DG;Germany;82.8;2015=100;PRE031;Price index for building land;e
61262;Residential property price indices;JAHR;Year;2011;DINSG;Germany;DG;Germany;86.7;2015=100;PRE038;Price index for existing residential property;e
61262;Residential property price indices;JAHR;Year;2011;DINSG;Germany;DG;Germany;87.8;2015=100;PRE037;Price index for new residential property;e
61262;Residential property price indices;JAHR;Year;2011;DINSG;Germany;DG;Germany;86.8;2015=100;PRE026;House price index;e
61262;Residential property price indices;JAHR;Year;2011;DINSG;Germany;DG;Germany;80.2;2015=100;PRE031;Price index for building land;e
61262;Residential property price indices;JAHR;Year;2010;DINSG;Germany;DG;Germany;83.9;2015=100;PRE038;Price index for existing residential property;e
61262;Residential property price indices;JAHR;Year;2010;DINSG;Germany;DG;Germany;83.6;2015=100;PRE037;Price index for new residential property;e
61262;Residential property price indices;JAHR;Year;2010;DINSG;Germany;DG;Germany;83.9;2015=100;PRE026;House price index;e
61262;Residential property price indices;JAHR;Year;2010;DINSG;Germany;DG;Germany;78.1;2015=100;PRE031;Price index for building land;e
61262;Residential property price indices;JAHR;Year;2019;DINSG;Germany;DG;Germany;129.8;2015=100;PRE038;Price index for existing residential property;e
61262;Residential property price indices;JAHR;Year;2019;DINSG;Germany;DG;Germany;122.9;2015=100;PRE037;Price index for new residential property;e
61262;Residential property price indices;JAHR;Year;2019;DINSG;Germany;DG;Germany;128.7;2015=100;PRE026;House price index;e
61262;Residential property price indices;JAHR;Year;2019;DINSG;Germany;DG;Germany;146.1;2015=100;PRE031;Price index for building land;e
61262;Residential property price indices;JAHR;Year;2018;DINSG;Germany;DG;Germany;122.2;2015=100;PRE038;Price index for existing residential property;e
61262;Residential property price indices;JAHR;Year;2018;DINSG;Germany;DG;Germany;118.9;2015=100;PRE037;Price index for new residential property;e
61262;Residential property price indices;JAHR;Year;2018;DINSG;Germany;DG;Germany;121.7;2015=100;PRE026;House price index;e
61262;Residential property price indices;JAHR;Year;2018;DINSG;Germany;DG;Germany;134.5;2015=100;PRE031;Price index for building land;e
61262;Residential property price indices;JAHR;Year;2017;DINSG;Germany;DG;Germany;114.5;2015=100;PRE038;Price index for existing residential property;e
61262;Residential property price indices;JAHR;Year;2017;DINSG;Germany;DG;Germany;111.8;2015=100;PRE037;Price index for new residential property;e
61262;Residential property price indices;JAHR;Year;2017;DINSG;Germany;DG;Germany;114.1;2015=100;PRE026;House price index;e
61262;Residential property price indices;JAHR;Year;2017;DINSG;Germany;DG;Germany;122.7;2015=100;PRE031;Price index for building land;e
61262;Residential property price indices;JAHR;Year;2004;DINSG;Germany;DG;Germany;83.6;2015=100;PRE038;Price index for existing residential property;e
61262;Residential property price indices;JAHR;Year;2004;DINSG;Germany;DG;Germany;74.7;2015=100;PRE037;Price index for new residential property;e
61262;Residential property price indices;JAHR;Year;2004;DINSG;Germany;DG;Germany;82.3;2015=100;PRE026;House price index;e
61262;Residential property price indices;JAHR;Year;2004;DINSG;Germany;DG;Germany;73.7;2015=100;PRE031;Price index for building land;e
61262;Residential property price indices;JAHR;Year;2005;DINSG;Germany;DG;Germany;84.9;2015=100;PRE038;Price index for existing residential property;e
61262;Residential property price indices;JAHR;Year;2005;DINSG;Germany;DG;Germany;74.6;2015=100;PRE037;Price index for new residential property;e
61262;Residential property price indices;JAHR;Year;2005;DINSG;Germany;DG;Germany;83.3;2015=100;PRE026;House price index;e
61262;Residential property price indices;JAHR;Year;2005;DINSG;Germany;DG;Germany;74.6;2015=100;PRE031;Price index for building land;e
61262;Residential property price indices;JAHR;Year;2002;DINSG;Germany;DG;Germany;84.8;2015=100;PRE038;Price index for existing residential property;e
61262;Residential property price indices;JAHR;Year;2002;DINSG;Germany;DG;Germany;74.4;2015=100;PRE037;Price index for new residential property;e
61262;Residential property price indices;JAHR;Year;2002;DINSG;Germany;DG;Germany;83.3;2015=100;PRE026;House price index;e
61262;Residential property price indices;JAHR;Year;2002;DINSG;Germany;DG;Germany;71.9;2015=100;PRE031;Price index for building land;e
61262;Residential property price indices;JAHR;Year;2024;DINSG;Germany;DG;Germany;148.2;2015=100;PRE038;Price index for existing residential property;e
61262;Residential property price indices;JAHR;Year;2024;DINSG;Germany;DG;Germany;145.7;2015=100;PRE037;Price index for new residential property;e
61262;Residential property price indices;JAHR;Year;2024;DINSG;Germany;DG;Germany;148.0;2015=100;PRE026;House price index;e
61262;Residential property price indices;JAHR;Year;2024;DINSG;Germany;DG;Germany;.;2015=100;PRE031;Price index for building land;
61262;Residential property price indices;JAHR;Year;2003;DINSG;Germany;DG;Germany;85.3;2015=100;PRE038;Price index for existing residential property;e
61262;Residential property price indices;JAHR;Year;2003;DINSG;Germany;DG;Germany;74.3;2015=100;PRE037;Price index for new residential property;e
61262;Residential property price indices;JAHR;Year;2003;DINSG;Germany;DG;Germany;83.6;2015=100;PRE026;House price index;e
61262;Residential property price indices;JAHR;Year;2003;DINSG;Germany;DG;Germany;72.9;2015=100;PRE031;Price index for building land;e
61262;Residential property price indices;JAHR;Year;2000;DINSG;Germany;DG;Germany;85.8;2015=100;PRE038;Price index for existing residential property;e
61262;Residential property price indices;JAHR;Year;2000;DINSG;Germany;DG;Germany;76.3;2015=100;PRE037;Price index for new residential property;e
61262;Residential property price indices;JAHR;Year;2000;DINSG;Germany;DG;Germany;84.4;2015=100;PRE026;House price index;e
61262;Residential property price indices;JAHR;Year;2000;DINSG;Germany;DG;Germany;69.9;2015=100;PRE031;Price index for building land;e
61262;Residential property price indices;JAHR;Year;2023;DINSG;Germany;DG;Germany;151.3;2015=100;PRE038;Price index for existing residential property;r
61262;Residential property price indices;JAHR;Year;2023;DINSG;Germany;DG;Germany;145.0;2015=100;PRE037;Price index for new residential property;r
61262;Residential property price indices;JAHR;Year;2023;DINSG;Germany;DG;Germany;150.3;2015=100;PRE026;House price index;r
61262;Residential property price indices;JAHR;Year;2023;DINSG;Germany;DG;Germany;.;2015=100;PRE031;Price index for building land;
61262;Residential property price indices;JAHR;Year;2001;DINSG;Germany;DG;Germany;86.2;2015=100;PRE038;Price index for existing residential property;e
61262;Residential property price indices;JAHR;Year;2001;DINSG;Germany;DG;Germany;74.8;2015=100;PRE037;Price index for new residential property;e
61262;Residential property price indices;JAHR;Year;2001;DINSG;Germany;DG;Germany;84.4;2015=100;PRE026;House price index;e
61262;Residential property price indices;JAHR;Year;2001;DINSG;Germany;DG;Germany;71.0;2015=100;PRE031;Price index for building land;e
61262;Residential property price indices;JAHR;Year;2022;DINSG;Germany;DG;Germany;167.0;2015=100;PRE038;Price index for existing residential property;r
61262;Residential property price indices;JAHR;Year;2022;DINSG;Germany;DG;Germany;148.7;2015=100;PRE037;Price index for new residential property;r
61262;Residential property price indices;JAHR;Year;2022;DINSG;Germany;DG;Germany;164.1;2015=100;PRE026;House price index;r
61262;Residential property price indices;JAHR;Year;2022;DINSG;Germany;DG;Germany;.;2015=100;PRE031;Price index for building land;
61262;Residential property price indices;JAHR;Year;2021;DINSG;Germany;DG;Germany;157.5;2015=100;PRE038;Price index for existing residential property;e
61262;Residential property price indices;JAHR;Year;2021;DINSG;Germany;DG;Germany;140.0;2015=100;PRE037;Price index for new residential property;e
61262;Residential property price indices;JAHR;Year;2021;DINSG;Germany;DG;Germany;154.7;2015=100;PRE026;House price index;e
61262;Residential property price indices;JAHR;Year;2021;DINSG;Germany;DG;Germany;187.5;2015=100;PRE031;Price index for building land;p
61262;Residential property price indices;JAHR;Year;2020;DINSG;Germany;DG;Germany;140.2;2015=100;PRE038;Price index for existing residential property;e
61262;Residential property price indices;JAHR;Year;2020;DINSG;Germany;DG;Germany;130.4;2015=100;PRE037;Price index for new residential property;e
61262;Residential property price indices;JAHR;Year;2020;DINSG;Germany;DG;Germany;138.7;2015=100;PRE026;House price index;e
61262;Residential property price indices;JAHR;Year;2020;DINSG;Germany;DG;Germany;156.1;2015=100;PRE031;Price index for building land;e
61262;Residential property price indices;JAHR;Year;2008;DINSG;Germany;DG;Germany;83.2;2015=100;PRE038;Price index for existing residential property;e
61262;Residential property price indices;JAHR;Year;2008;DINSG;Germany;DG;Germany;77.4;2015=100;PRE037;Price index for new residential property;e
61262;Residential property price indices;JAHR;Year;2008;DINSG;Germany;DG;Germany;82.3;2015=100;PRE026;House price index;e
61262;Residential property price indices;JAHR;Year;2008;DINSG;Germany;DG;Germany;76.2;2015=100;PRE031;Price index for building land;e
61262;Residential property price indices;JAHR;Year;2009;DINSG;Germany;DG;Germany;83.2;2015=100;PRE038;Price index for existing residential property;e
61262;Residential property price indices;JAHR;Year;2009;DINSG;Germany;DG;Germany;81.6;2015=100;PRE037;Price index for new residential property;e
61262;Residential property price indices;JAHR;Year;2009;DINSG;Germany;DG;Germany;83.0;2015=100;PRE026;House price index;e
61262;Residential property price indices;JAHR;Year;2009;DINSG;Germany;DG;Germany;76.6;2015=100;PRE031;Price index for building land;e
61262;Residential property price indices;JAHR;Year;2006;DINSG;Germany;DG;Germany;84.6;2015=100;PRE038;Price index for existing residential property;e
61262;Residential property price indices;JAHR;Year;2006;DINSG;Germany;DG;Germany;73.9;2015=100;PRE037;Price index for new residential property;e
61262;Residential property price indices;JAHR;Year;2006;DINSG;Germany;DG;Germany;83.0;2015=100;PRE026;House price index;e
61262;Residential property price indices;JAHR;Year;2006;DINSG;Germany;DG;Germany;76.1;2015=100;PRE031;Price index for building land;e
61262;Residential property price indices;JAHR;Year;2007;DINSG;Germany;DG;Germany;82.2;2015=100;PRE038;Price index for existing residential property;e
61262;Residential property price indices;JAHR;Year;2007;DINSG;Germany;DG;Germany;75.4;2015=100;PRE037;Price index for new residential property;e
61262;Residential property price indices;JAHR;Year;2007;DINSG;Germany;DG;Germany;81.2;2015=100;PRE026;House price index;e
61262;Residential property price indices;JAHR;Year;2007;DINSG;Germany;DG;Germany;76.2;2015=100;PRE031;Price index for building land;e
